gene,stress,reasonable_term
Solyc04g011610,drought,true
Solyc04g012160,drought,true
Solyc04g014260,drought,true
Solyc04g017690,drought,true
Solyc04g049910,drought,true
Solyc04g049920,drought,true
Solyc04g054480,drought,true
Solyc04g054910,drought,true
Solyc04g054980,drought,true
Solyc04g055170,drought,true
Solyc04g056310,drought,true
Solyc04g056420,drought,true
Solyc04g057890,drought,true
Solyc04g063440,drought,true
Solyc04g064540,drought,true
Solyc04g064710,drought,true
Solyc04g070970,drought,true
Solyc04g071150,drought,true
Solyc04g071940,drought,true
Solyc04g071960,drought,true
Solyc04g072880,drought,true
Solyc04g072900,drought,true
Solyc04g073990,drought,true
Solyc04g074180,drought,true
Solyc04g074500,drought,true
Solyc04g074820,drought,true
Solyc04g076810,drought,true
Solyc04g077050,drought,true
Solyc04g077440,drought,true
Solyc04g077980,drought,true
Solyc04g078420,drought,true
Solyc04g078480,drought,true
Solyc04g078640,drought,true
Solyc04g078820,drought,true
Solyc04g078840,drought,true
Solyc04g078890,drought,true
Solyc04g079420,drought,true
Solyc04g079980,drought,true
Solyc04g080650,drought,true
Solyc04g080660,drought,true
Solyc04g080960,drought,true
Solyc04g080990,drought,true
Solyc04g081570,drought,true
Solyc04g081970,drought,true
Solyc04g082480,drought,true
Solyc04g082600,drought,true
Solyc04g082780,drought,true
Solyc04g082860,drought,true
Solyc05g005620,drought,true
Solyc05g006730,drought,true
Solyc05g006740,drought,true
Solyc05g006750,drought,true
Solyc05g007300,drought,true
Solyc05g007580,drought,true
Solyc05g009680,drought,true
Solyc05g012500,drought,true
Solyc05g012510,drought,true
Solyc05g013070,drought,true
Solyc05g014160,drought,true
Solyc05g014690,drought,true
Solyc05g015610,drought,true
Solyc05g015850,drought,true
Solyc05g025680,drought,true
Solyc05g025820,drought,true
Solyc05g026210,drought,true
Solyc05g026490,drought,true
Solyc05g046010,drought,true
Solyc05g046020,drought,true
Solyc05g046030,drought,true
Solyc05g047600,drought,true
Solyc05g049970,drought,true
Solyc05g050130,drought,true
Solyc05g050540,drought,true
Solyc05g050560,drought,true
Solyc05g050590,drought,true
Solyc05g051220,drought,true
Solyc05g051420,drought,true
Solyc05g052030,drought,true
Solyc05g052050,drought,true
Solyc05g052960,drought,true
Solyc05g053040,drought,true
Solyc05g053210,drought,true
Solyc05g053290,drought,true
Solyc05g053330,drought,true
Solyc05g053530,drought,true
Solyc05g053570,drought,true
Solyc05g053590,drought,true
Solyc05g053600,drought,true
Solyc05g053610,drought,true
Solyc05g053780,drought,true
Solyc05g053820,drought,true
Solyc05g053860,drought,true
Solyc05g053910,drought,true
Solyc05g053920,drought,true
Solyc05g054410,drought,true
Solyc05g054610,drought,true
Solyc05g055470,drought,true
Solyc05g055990,drought,true
Solyc05g056170,drought,true
Solyc05g056490,drought,true
Solyc06g005420,drought,true
Solyc06g005430,drought,true
Solyc06g005590,drought,true
Solyc06g005630,drought,true
Solyc06g007490,drought,true
Solyc06g007650,drought,true
Solyc06g008050,drought,true
Solyc06g008590,drought,true
Solyc06g008600,drought,true
Solyc06g008870,drought,true
Solyc06g009020,drought,true
Solyc06g009040,drought,true
Solyc06g009140,drought,true
Solyc06g009280,drought,true
Solyc06g009290,drought,true
Solyc06g009390,drought,true
Solyc06g010000,drought,true
Solyc06g011350,drought,true
Solyc06g019170,drought,true
Solyc06g033870,drought,true
Solyc06g034000,drought,true
Solyc06g035700,drought,true
Solyc06g035760,drought,true
Solyc06g036290,drought,true
Solyc06g051970,drought,true
Solyc06g053610,drought,true
Solyc06g053670,drought,true
Solyc06g053830,drought,true
Solyc06g060230,drought,true
Solyc06g060250,drought,true
Solyc06g060810,drought,true
Solyc06g060870,drought,true
Solyc06g060980,drought,true
Solyc06g061110,drought,true
Solyc06g062980,drought,true
Solyc06g064820,drought,true
Solyc06g065530,drought,true
Solyc06g065610,drought,true
Solyc06g065630,drought,true
Solyc06g065640,drought,true
Solyc06g065660,drought,true
Solyc06g065750,drought,true
Solyc06g065790,drought,true
Solyc06g066330,drought,true
Solyc06g066390,drought,true
Solyc06g066710,drought,true
Solyc06g066770,drought,true
Solyc06g068240,drought,true
Solyc06g068360,drought,true
Solyc06g068510,drought,true
Solyc06g069220,drought,true
Solyc06g069710,drought,true
Solyc06g069850,drought,true
Solyc06g071290,drought,true
Solyc06g072240,drought,true
Solyc06g072380,drought,true
Solyc06g073260,drought,true
Solyc06g073320,drought,true
Solyc06g073380,drought,true
Solyc06g073390,drought,true
Solyc06g073460,drought,true
Solyc06g074140,drought,true
Solyc06g074420,drought,true
Solyc06g074820,drought,true
Solyc06g075570,drought,true
Solyc06g075650,drought,true
Solyc06g075830,drought,true
Solyc06g075850,drought,true
Solyc06g075930,drought,true
Solyc06g075960,drought,true
Solyc06g076270,drought,true
Solyc06g076330,drought,true
Solyc06g076400,drought,true
Solyc06g076930,drought,true
Solyc06g082470,drought,true
Solyc06g083150,drought,true
Solyc06g083460,drought,true
Solyc06g083700,drought,true
Solyc06g083900,drought,true
Solyc06g083980,drought,true
Solyc06g084040,drought,true
Solyc06g084070,drought,true
Solyc06g084320,drought,true
Solyc06g160100,drought,true
Solyc07g005033,drought,true
Solyc07g005440,drought,true
Solyc07g005720,drought,true
Solyc07g006430,drought,true
Solyc07g006460,drought,true
Solyc07g006470,drought,true
Solyc07g007220,drought,true
Solyc07g007560,drought,true
Solyc07g007600,drought,true
Solyc07g007620,drought,true
